latitude,longitude
40.843525,-73.89667
40.616314,-74.00083
40.612637,-73.974785
40.71853,-74.005905
40.651264,-74.003914
40.760036,-73.99239
40.75539,-73.828285
40.724903,-73.99481
40.749607,-73.89687
40.777714,-73.82406
40.59241,-73.789
40.67809,-73.8842
40.866776,-73.86731
40.65698,-73.88943
40.755657,-73.884445
40.642727,-73.91749
40.804996,-73.94882
40.707893,-73.78675
40.702293,-73.79117
40.66065,-73.953545
40.86038,-73.88889
40.751083,-73.9079
40.701706,-73.88375
40.676926,-73.9699
40.62512,-73.9227
40.584003,-73.92157
40.624763,-73.96518
40.825935,-73.85913
40.730015,-73.82348
40.66298,-73.90129
40.784443,-73.98139
40.844105,-73.898
40.747517,-73.87187
40.827564,-73.83363
40.65661,-73.93091
40.678417,-73.729225
40.702686,-73.85615
40.583534,-73.984184
40.590584,-73.97831
40.702244,-73.91183
40.621563,-73.939125
40.688797,-73.923904
40.664375,-73.92376
40.57953,-74.07833
40.775505,-73.97831
40.79522,-73.921524
40.64333,-73.95973
40.612988,-74.124084
40.741623,-73.87918
40.770752,-73.95695
40.789085,-73.780464
40.738335,-73.89543
40.716923,-74.01084
40.836403,-73.875595
40.88102,-73.8438
40.79737,-73.91981
40.764053,-73.96476
40.695255,-73.8939
40.656082,-73.95306
40.620323,-74.02723
40.74622,-73.87755
40.60803,-73.960045
40.71185,-73.75806
40.79356,-73.96702
40.83829,-73.82483
40.66605,-73.81525
40.766167,-73.954254
40.765675,-73.97624
40.695232,-73.98326
40.774292,-73.95127
40.899776,-73.84724
40.726604,-73.789116
40.68354,-73.88608
40.687748,-73.96979
40.86794,-73.831314
40.82712,-73.93116
40.595715,-73.96508
40.84647,-73.92633
40.82857,-73.84119
40.72165,-73.84121
40.81701,-73.9595
40.753777,-73.78619
40.79522,-73.921524
40.745823,-73.77242
40.671494,-73.77523
40.67584,-73.91655
40.759,-73.97054
40.883343,-73.81614
40.681988,-73.76634
40.835644,-73.893005
40.754154,-73.9804
40.69245,-73.93542
40.66758,-73.737404
40.70636,-73.792534
40.7666,-73.89117
40.714104,-73.95322
40.597317,-73.75427
40.66475,-73.89405
40.747204,-73.99711
40.832233,-73.881
40.85169,-73.95238
40.665936,-73.83505
40.714478,-74.01354
40.66895,-73.9339
40.671432,-73.874374
40.65745,-73.956566
40.568325,-74.13934
40.6094,-73.967674
40.59527,-73.781845
40.743214,-73.95135
40.54642,-74.14141
40.73911,-73.943
40.688915,-73.99501
40.585056,-73.928894
40.700737,-73.99499
40.59034,-74.06663
40.671185,-73.94204
40.65799,-73.996925
40.816044,-73.91195
40.759624,-73.99548
40.74854,-73.97315
40.86406,-73.91922
40.817177,-73.906654
40.884136,-73.862
40.805668,-73.93648
40.87377,-73.82611
40.76289,-73.805534
40.79465,-73.971794
40.85227,-73.82854
40.75896,-73.82985
40.774853,-73.98067
40.70535,-73.87276
40.726265,-73.995346
40.73051,-73.98276
40.670254,-73.85728
40.753304,-73.912575
40.61032,-74.08568
40.666405,-73.802635
40.59688,-73.97409
40.7092,-73.9919
40.710537,-73.83766
40.742195,-73.81456
40.715954,-73.986725
40.871243,-73.899315
40.83116,-73.8871
40.69365,-73.762344
40.667328,-73.77903
40.659584,-73.94761
40.545395,-74.16575
40.59727,-73.99868
40.632782,-73.99446
40.88971,-73.85603
40.728,-73.82244
40.65114,-73.89
40.629974,-74.00813
40.767963,-73.91169
40.60213,-73.94223
40.754047,-73.80838
40.828873,-73.83707
40.677273,-73.86812
40.53717,-74.20532
40.768616,-73.92508
40.77077,-73.91727
40.696033,-73.89967
40.768166,-73.82422
40.668118,-73.89292
40.62718,-74.14233
40.674152,-73.72939
40.747536,-73.89344
40.75738,-73.966705
40.768803,-73.95837
40.60613,-73.74427
40.771015,-73.90162
40.754257,-73.971924
40.80641,-73.94227
40.778233,-73.98278
40.68484,-73.80607
40.764473,-73.747086
40.59348,-73.96326
40.631905,-73.98997
40.614544,-74.10937
40.740646,-73.89027
40.765675,-73.97624
40.850494,-73.91546
40.633636,-73.951065
40.727097,-73.95269
40.729877,-73.9576
40.898113,-73.851234
40.701576,-74.01215
40.7352,-73.718216
40.63085,-73.89082
40.78739,-73.938225
40.728424,-73.78081
40.85406,-73.91936
40.702614,-73.96058
40.72032,-73.99404
40.689777,-73.97747
40.577576,-74.105606
40.823334,-73.90574
40.780178,-73.95721
40.85569,-73.881035
40.82413,-73.94098
40.809616,-73.85323
40.769863,-73.947914
40.626457,-73.918
40.704765,-73.95889
40.766045,-73.983376
40.544834,-74.14849
40.7067,-73.79137
40.676666,-73.96572
40.521477,-74.23508
40.582874,-73.98053
40.822884,-73.95574
40.799103,-73.94278
40.72913,-73.76193
40.75533,-73.99119
40.71863,-73.988495
40.74769,-73.88972
40.866066,-73.89438
40.790363,-73.965645
40.681847,-73.8026
40.78519,-73.94934
40.752842,-73.8629
40.596687,-73.74422
40.84482,-73.837
40.5838,-74.15347
40.627155,-73.96563
40.71042,-73.85964
40.72277,-73.83625
40.771656,-73.95319
40.6707,-73.77366
40.747833,-73.83301
40.621433,-73.987854
40.737354,-73.918915
40.608757,-74.038086
40.689445,-73.95513
40.87626,-73.90395
40.809578,-73.93996
40.8213,-73.88033
40.756035,-73.98695
40.736763,-73.88754
40.85521,-73.855835
40.749825,-73.972206
40.77044,-73.91655
40.720966,-73.98218
40.731777,-73.77011
40.763683,-73.99623
40.859253,-73.88674
40.82207,-73.94993
40.84506,-73.916855
40.702843,-73.92113
40.72032,-73.99404
40.746555,-73.82621
40.584038,-73.93456
40.763245,-73.75806
40.686447,-73.85485
40.669403,-73.94221
40.597878,-73.96115
40.608715,-74.116325
40.7079,-73.851105
40.861088,-73.85358
40.62967,-73.94739
40.745235,-73.937706
40.704422,-73.99491
40.655457,-73.92883
40.83723,-73.93884
40.75619,-73.99057
40.678062,-73.85921
40.784992,-73.98261
40.72132,-74.008354
40.60381,-73.75213
40.802395,-73.936775
40.646626,-73.90399
40.70564,-73.96354
40.80829,-73.90453
40.66327,-73.9951
40.59034,-74.06663
40.792465,-73.79322
40.80577,-73.90971
40.803352,-73.92922
40.63082,-73.88636
40.743263,-73.91964
40.683655,-74.00583
40.59464,-73.952705
40.632206,-73.90961
40.6094,-74.11657
40.75645,-73.97032
40.59054,-73.97023
40.77345,-73.91398
40.68953,-73.80861
40.677483,-73.93033
40.685375,-73.77968
40.749825,-73.972206
40.70524,-74.012535
40.617252,-74.00703
40.73251,-73.86827
40.771523,-73.81572
40.678394,-73.74638
40.875122,-73.905174
40.64507,-73.95803
40.68892,-73.99915
40.758305,-73.85561
40.714527,-73.97481
40.640762,-74.00767
40.76582,-73.81087
40.778484,-73.94526
40.72434,-73.98129
40.85358,-73.932236
40.76155,-73.96659
40.747025,-73.89564
40.632835,-74.02724
40.707222,-73.94445
40.638897,-73.9775
40.84697,-73.89602
40.789227,-73.80462
40.83091,-73.89796
40.801754,-73.93121
40.593163,-73.9086
40.73556,-73.915054
40.704388,-73.994576
40.76753,-73.912056
40.828957,-73.842064
40.69297,-73.78024
40.756664,-73.78282
40.756546,-73.99218
40.695858,-73.828896
40.753567,-73.86776
40.883614,-73.84779
40.88845,-73.841965
40.66151,-73.91351
40.71969,-73.99829
40.675632,-73.89878
40.67216,-73.874565
40.644638,-73.95894
40.604153,-74.05198
40.71047,-73.85092
40.70753,-73.9489
40.873516,-73.907364
40.591793,-73.94609
40.630928,-73.92137
40.730137,-73.92693
40.745384,-73.99471
40.88285,-73.90358
40.866695,-73.90231
40.70487,-73.7841
40.651573,-73.97237
40.710434,-73.838066
40.85206,-73.934784
40.59705,-73.95302
40.674934,-73.80186
40.69051,-73.97872
40.737198,-73.70899
40.696014,-73.98414
40.83389,-73.94031
40.709133,-74.014175
40.75278,-73.85499
40.735794,-73.85807
40.875122,-73.905174
40.693344,-73.86286
40.693787,-73.81173
40.80771,-73.95326
40.72106,-73.75945
40.724667,-73.82076
40.68971,-73.826866
40.593327,-73.964645
40.624798,-73.94265
40.752033,-73.99106
40.8511,-73.90468
40.71686,-73.99789
40.690926,-73.92066
40.689884,-73.9188
40.679348,-73.750336
40.892323,-73.846306
40.76906,-73.92848
40.80763,-73.94727
40.70215,-73.82033
40.66899,-73.99641
40.880623,-73.84047
40.666862,-73.8045
40.804695,-73.92239
40.84046,-73.88596
40.690895,-73.99406
40.771152,-73.97966
40.726044,-73.90204
40.820305,-73.89083
40.734978,-73.8614
40.646515,-73.974655
40.89463,-73.88229
40.66895,-73.9339
40.873657,-73.89838
40.71234,-73.788605
40.7674,-73.98238
40.6573,-73.875725
40.637447,-74.01997
40.762913,-73.96981
40.710163,-74.00426
40.67268,-73.953026
40.748966,-73.75817
40.70008,-73.890465
40.624203,-73.965065
40.712746,-73.87907
40.725903,-73.73931
40.718323,-73.9585
40.71869,-73.791245
40.844875,-73.8678
40.725506,-73.99211
40.822834,-73.941925
40.690037,-73.9515
40.677658,-73.88575
40.67816,-73.897484
40.65011,-73.930214
40.602272,-73.753365
40.701,-73.74012
40.683002,-73.913284
40.730324,-73.91898
40.73973,-73.81762
40.63032,-73.9213
40.770126,-73.89738
40.79801,-73.827065
40.803024,-73.93632
40.744026,-73.92616
40.72956,-73.87145
40.75708,-73.97615
40.64412,-73.98907
40.760586,-73.842606
40.528637,-74.191376
40.70257,-73.99259
40.75763,-73.82799
40.710197,-73.95843
40.60386,-73.95832
40.854725,-73.93802
40.558895,-74.16653
40.86923,-73.89604
40.660843,-73.771255
40.766346,-73.98795
40.745293,-73.9985
40.709503,-74.00167
40.65042,-73.95783
40.768665,-73.73294
40.678158,-73.90862
40.712536,-73.8026
40.726067,-73.85155
40.868534,-73.91841
40.608757,-74.038086
