borough,vehicle_type_1,crash_severity,crash_count
QUEENS,MAIL TRUCK,Non-Fatal,5
MANHATTAN,BOX TRUCK,Non-Fatal,5
QUEENS,VAN,Fatal,5
BRONX,E-Bike,Fatal,5
QUEENS,E-Bike,Fatal,5
MANHATTAN,GARBAGE TR,Non-Fatal,5
QUEENS,E-Scooter,Fatal,5
STATEN ISLAND,USPS,Non-Fatal,5
BROOKLYN,unkno,Non-Fatal,5
BRONX,PSD,Non-Fatal,5
STATEN ISLAND,van,Non-Fatal,5
BRONX,stree,Non-Fatal,5
QUEENS,Taxi,Fatal,5
QUEENS,Bike,Fatal,5
BROOKLYN,unk,Non-Fatal,5
MANHATTAN,E-Bike,Fatal,5
MANHATTAN,Unknown,Non-Fatal,5
STATEN ISLAND,Open Body,Non-Fatal,5
QUEENS,fdny,Non-Fatal,5
QUEENS,bus,Non-Fatal,5
MANHATTAN,UTILI,Non-Fatal,5
BROOKLYN,Trail,Non-Fatal,5
STATEN ISLAND,Motorcycle,Fatal,5
QUEENS,AMB,Non-Fatal,5
QUEENS,Van Camper,Non-Fatal,5
BROOKLYN,scoot,Non-Fatal,5
MANHATTAN,FDNY TRUCK,Non-Fatal,5
MANHATTAN,MTA BUS,Non-Fatal,5
QUEENS,MTA BUS,Non-Fatal,5
MANHATTAN,Box truck,Non-Fatal,5
MANHATTAN,VAN TRUCK,Non-Fatal,5
BROOKLYN,WAGON,Non-Fatal,5
BROOKLYN,TAXI,Fatal,5
BRONX,PICK UP TR,Non-Fatal,5
BROOKLYN,BOBCAT,Non-Fatal,5
MANHATTAN,FIRET,Non-Fatal,5
MANHATTAN,BACKH,Non-Fatal,5
STATEN ISLAND,FDNY,Non-Fatal,5
BRONX,PAS,Non-Fatal,5
QUEENS,tract,Non-Fatal,5
QUEENS,moped,Non-Fatal,5
MANHATTAN,TOW TRUCK,Non-Fatal,5
QUEENS,Motorscooter,Fatal,5
BRONX,Moped,Fatal,5
BROOKLYN,Taxi,Fatal,5
BROOKLYN,FORD,Non-Fatal,5
MANHATTAN,SMALL COM VEH(4 TIRES) ,Fatal,5
QUEENS,DELIV,Non-Fatal,5
QUEENS,TRAC,Non-Fatal,5
BROOKLYN,Well Driller,Non-Fatal,5
MANHATTAN,Enclosed Body - Nonremovable Enclosure,Non-Fatal,5
BRONX,Box Truck,Fatal,5
MANHATTAN,forklift,Non-Fatal,5
BRONX,Motorized Home,Non-Fatal,5
MANHATTAN,E-Scooter,Fatal,5
BROOKLYN,VAN TRUCK,Non-Fatal,5
MANHATTAN,truck,Non-Fatal,5
BROOKLYN,Hopper,Non-Fatal,5
BROOKLYN,subn,Non-Fatal,5
STATEN ISLAND,Motorbike,Non-Fatal,5
MANHATTAN,Trail,Non-Fatal,5
MANHATTAN,SCOOT,Non-Fatal,5
MANHATTAN,subn,Non-Fatal,5
BROOKLYN,PASSENGER,Non-Fatal,5
BROOKLYN,scooter,Non-Fatal,5
STATEN ISLAND,Trailer,Non-Fatal,5
BRONX,FORKL,Non-Fatal,5
STATEN ISLAND,Refrigerated Van,Non-Fatal,5
MANHATTAN,Van Camper,Non-Fatal,5
BROOKLYN,DELV,Non-Fatal,5
MANHATTAN,unkno,Non-Fatal,5
BROOKLYN,Motorized Home,Non-Fatal,5
MANHATTAN,USPS TRUCK,Non-Fatal,5
BRONX,MOTOR SCOO,Non-Fatal,5
BRONX,ELECTRIC S,Non-Fatal,5
MANHATTAN,SELF,Non-Fatal,4
BROOKLYN,fdny,Non-Fatal,4
MANHATTAN,comme,Non-Fatal,4
BROOKLYN,utili,Non-Fatal,4
BRONX,schoo,Non-Fatal,4
BROOKLYN,E BIK,Non-Fatal,4
QUEENS,Well Driller,Non-Fatal,4
BROOKLYN,Glass Rack,Non-Fatal,4
BROOKLYN,Van,Fatal,4
BRONX,Bike,Fatal,4
BROOKLYN,Tow T,Non-Fatal,4
BROOKLYN,CRANE,Non-Fatal,4
MANHATTAN,Tow Truck,Non-Fatal,4
BROOKLYN,Mini Van,Non-Fatal,4
BROOKLYN,FDNY Ambul,Non-Fatal,4
QUEENS,Firetruck,Non-Fatal,4
BRONX,Scooter,Non-Fatal,4
MANHATTAN,Fire truck,Non-Fatal,4
MANHATTAN,GOLF CART,Non-Fatal,4
QUEENS,deliv,Non-Fatal,4
QUEENS,firet,Non-Fatal,4
QUEENS,4 dr sedan,Fatal,4
BRONX,Taxi,Fatal,4
STATEN ISLAND,BICYCLE,Non-Fatal,4
BROOKLYN,PK,Fatal,4
MANHATTAN,Glass Rack,Non-Fatal,4
QUEENS,GOLF CART,Non-Fatal,4
BROOKLYN,Pickup tru,Non-Fatal,4
MANHATTAN,EMS,Non-Fatal,4
BROOKLYN,FDNY FIRET,Non-Fatal,4
BRONX,PICKUP TRU,Non-Fatal,4
MANHATTAN,FLAT,Non-Fatal,4
STATEN ISLAND,FIRE,Non-Fatal,4
MANHATTAN,PICKU,Non-Fatal,4
QUEENS,Van,Fatal,4
BRONX,fdny,Non-Fatal,4
MANHATTAN,FOOD,Non-Fatal,4
QUEENS,ambu,Non-Fatal,4
QUEENS,PICK-UP TRUCK,Fatal,4
BRONX,unkno,Non-Fatal,4
QUEENS,box t,Non-Fatal,4
QUEENS,SELF INSUR,Non-Fatal,4
MANHATTAN,POWER SHOV,Non-Fatal,4
MANHATTAN,Sprinter V,Non-Fatal,4
BROOKLYN,forkl,Non-Fatal,4
MANHATTAN,RV,Non-Fatal,4
BRONX,Fire,Non-Fatal,4
BROOKLYN,TRL,Non-Fatal,4
BROOKLYN,com,Non-Fatal,4
BRONX,FORD,Non-Fatal,4
QUEENS,mail,Non-Fatal,4
BROOKLYN,Utili,Non-Fatal,4
MANHATTAN,pick,Non-Fatal,4
BROOKLYN,Flat Bed,Fatal,4
QUEENS,SCHOOL BUS,Non-Fatal,4
QUEENS,Forklift,Non-Fatal,4
BRONX,AMBULENCE,Non-Fatal,4
BROOKLYN,Dirt Bike,Non-Fatal,4
MANHATTAN,SANIT,Non-Fatal,4
MANHATTAN,UHAUL,Non-Fatal,4
MANHATTAN,TOW T,Non-Fatal,4
BRONX,trail,Non-Fatal,4
MANHATTAN,POSTA,Non-Fatal,4
MANHATTAN,SUV,Non-Fatal,4
BRONX,Schoo,Non-Fatal,4
BRONX,USPS,Non-Fatal,4
BRONX,truck,Non-Fatal,4
BROOKLYN,UTILITY,Non-Fatal,4
MANHATTAN,deliv,Non-Fatal,4
BROOKLYN,4 dr sedan,Fatal,4
QUEENS,FORK,Non-Fatal,4
STATEN ISLAND,Lift Boom,Non-Fatal,4
MANHATTAN,OMT,Non-Fatal,4
QUEENS,COMME,Non-Fatal,4
STATEN ISLAND,Multi-Wheeled Vehicle,Non-Fatal,4
BRONX,BUS,Fatal,4
BROOKLYN,Livestock Rack,Non-Fatal,4
MANHATTAN,FDNY Truck,Non-Fatal,4
BROOKLYN,MTA BUS,Non-Fatal,4
MANHATTAN,moped,Non-Fatal,4
BROOKLYN,SEMI,Non-Fatal,4
QUEENS,unk,Non-Fatal,4
MANHATTAN,GARBA,Non-Fatal,4
QUEENS,UTIL,Non-Fatal,4
MANHATTAN,WAGON,Non-Fatal,4
BROOKLYN,P/SH,Non-Fatal,4
BROOKLYN,VAN T,Non-Fatal,4
BRONX,MOTOR,Non-Fatal,4
BROOKLYN,SEDAN,Non-Fatal,4
QUEENS,ELECT,Non-Fatal,4
BRONX,Motorscooter,Fatal,4
BROOKLYN,Lunch Wagon,Non-Fatal,4
QUEENS,RV,Non-Fatal,4
BRONX,FIRETRUCK,Non-Fatal,4
QUEENS,BOX TRUCK,Non-Fatal,4
BROOKLYN,FDNY Fire,Non-Fatal,4
BROOKLYN,Pickup,Non-Fatal,4
QUEENS,com,Non-Fatal,3
QUEENS,Tractor Truck Diesel,Fatal,3
MANHATTAN,tract,Non-Fatal,3
BRONX,ambu,Non-Fatal,3
MANHATTAN,US PO,Non-Fatal,3
BROOKLYN,MOPD,Non-Fatal,3
BROOKLYN,garba,Non-Fatal,3
BRONX,GARBA,Non-Fatal,3
BRONX,MTA B,Non-Fatal,3
BRONX,comme,Non-Fatal,3
BROOKLYN,SPRIN,Non-Fatal,3
BRONX,TAXI,Fatal,3
BRONX,scoot,Non-Fatal,3
BRONX,DELV,Non-Fatal,3
MANHATTAN,Tanker,Fatal,3
BROOKLYN,FDNY LADDE,Non-Fatal,3
QUEENS,GARBAGE TR,Non-Fatal,3
MANHATTAN,Dirt Bike,Non-Fatal,3
BROOKLYN,Enclosed Body - Nonremovable Enclosure,Non-Fatal,3
QUEENS,SANITATION,Non-Fatal,3
QUEENS,SPC,Non-Fatal,3
MANHATTAN,Passenger,Non-Fatal,3
BROOKLYN,Dump truck,Non-Fatal,3
QUEENS,Utility,Non-Fatal,3
BROOKLYN,EMS,Non-Fatal,3
QUEENS,MOTOR,Non-Fatal,3
MANHATTAN,TRAC,Non-Fatal,3
MANHATTAN,FORD,Non-Fatal,3
MANHATTAN,posta,Non-Fatal,3
MANHATTAN,PASS,Non-Fatal,3
MANHATTAN,SCHOO,Non-Fatal,3
BRONX,Livestock Rack,Non-Fatal,3
BROOKLYN,E-BIK,Non-Fatal,3
BROOKLYN,YELLO,Non-Fatal,3
BRONX,OMR,Non-Fatal,3
BROOKLYN,RD/S,Non-Fatal,3
QUEENS,GATOR,Non-Fatal,3
BRONX,VAN TRUCK,Non-Fatal,3
BRONX,fire truck,Non-Fatal,3
QUEENS,FDNY Ambul,Non-Fatal,3
STATEN ISLAND,Van Camper,Non-Fatal,3
STATEN ISLAND,Standing S,Non-Fatal,3
BRONX,Fire truck,Non-Fatal,3
QUEENS,sedan,Non-Fatal,3
BROOKLYN,usps,Non-Fatal,3
BRONX,PC,Non-Fatal,3
BRONX,Trail,Non-Fatal,3
BROOKLYN,ROAD,Non-Fatal,3
MANHATTAN,Livestock Rack,Non-Fatal,3
MANHATTAN,GOLF,Non-Fatal,3
BROOKLYN,Scoot,Non-Fatal,3
BROOKLYN,tow t,Non-Fatal,3
QUEENS,scoot,Non-Fatal,3
BRONX,TRL,Non-Fatal,3
MANHATTAN,ELECT,Non-Fatal,3
MANHATTAN,Delv,Non-Fatal,3
MANHATTAN,Ambu,Non-Fatal,3
BRONX,Firetruck,Non-Fatal,3
MANHATTAN,scooter,Non-Fatal,3
BROOKLYN,trailer,Non-Fatal,3
STATEN ISLAND,TOW TRUCK,Non-Fatal,3
BROOKLYN,Com,Non-Fatal,3
BRONX,PICKUP,Non-Fatal,3
QUEENS,Government,Non-Fatal,3
MANHATTAN,USPS Truck,Non-Fatal,3
BROOKLYN,Dump Truck,Non-Fatal,3
BROOKLYN,UTILITY TR,Non-Fatal,3
QUEENS,Commercial,Non-Fatal,3
MANHATTAN,FDNY Ambul,Non-Fatal,3
QUEENS,Garbage tr,Non-Fatal,3
MANHATTAN,NYS AMBULA,Non-Fatal,3
BRONX,Fire Truck,Non-Fatal,3
BRONX,golf,Non-Fatal,3
BROOKLYN,Tanker,Fatal,3
QUEENS,stree,Non-Fatal,3
STATEN ISLAND,SCOOTER,Non-Fatal,3
BROOKLYN,SMALL COM VEH(4 TIRES) ,Fatal,3
STATEN ISLAND,SCHOOL BUS,Non-Fatal,3
QUEENS,BACKH,Non-Fatal,3
BROOKLYN,Amb,Non-Fatal,3
MANHATTAN,SANITATION,Non-Fatal,3
BROOKLYN,Unk,Non-Fatal,3
QUEENS,SUV,Non-Fatal,3
QUEENS,FORKLIFT,Non-Fatal,3
MANHATTAN,Golf Cart,Non-Fatal,3
STATEN ISLAND,Armored Truck,Non-Fatal,3
MANHATTAN,Pick up tr,Non-Fatal,3
MANHATTAN,box t,Non-Fatal,3
BROOKLYN,SANIT,Non-Fatal,3
QUEENS,MTA B,Non-Fatal,3
BROOKLYN,pas,Non-Fatal,3
BROOKLYN,box t,Non-Fatal,3
MANHATTAN,tow,Non-Fatal,3
QUEENS,PICKU,Non-Fatal,3
BROOKLYN,UT,Non-Fatal,3
MANHATTAN,TRACTOR,Non-Fatal,3
BROOKLYN,Fork lift,Non-Fatal,3
MANHATTAN,Van,Fatal,3
QUEENS,Dirt Bike,Non-Fatal,3
MANHATTAN,Amb,Non-Fatal,3
STATEN ISLAND,Bus,Fatal,3
BRONX,G PSD,Non-Fatal,3
MANHATTAN,commercial,Non-Fatal,3
MANHATTAN,FIRE ENGIN,Non-Fatal,3
BROOKLYN,dump,Non-Fatal,3
BROOKLYN,MOTOR,Non-Fatal,3
QUEENS,tow,Non-Fatal,3
BROOKLYN,Log,Non-Fatal,3
QUEENS,CEMEN,Non-Fatal,3
MANHATTAN,MACK,Non-Fatal,3
BRONX,fire,Non-Fatal,3
STATEN ISLAND,MOTORCYCLE,Fatal,3
STATEN ISLAND,trail,Non-Fatal,3
BRONX,RV,Non-Fatal,3
MANHATTAN,tow t,Non-Fatal,3
BRONX,VAN,Fatal,3
MANHATTAN,motor,Non-Fatal,3
BROOKLYN,pick,Non-Fatal,3
BROOKLYN,tract,Non-Fatal,3
BROOKLYN,PSD,Non-Fatal,3
MANHATTAN,Garbage or Refuse,Fatal,3
QUEENS,amb,Non-Fatal,3
QUEENS,School bus,Non-Fatal,3
MANHATTAN,PICK UP,Non-Fatal,3
MANHATTAN,SPRINTER V,Non-Fatal,3
MANHATTAN,Pick up,Non-Fatal,3
MANHATTAN,SKATEBOARD,Non-Fatal,3
BROOKLYN,PICK UP,Non-Fatal,3
BROOKLYN,PICK UP TR,Non-Fatal,3
STATEN ISLAND,MOPED,Non-Fatal,3
BRONX,UNKNO,Non-Fatal,3
QUEENS,schoo,Non-Fatal,3
QUEENS,Box T,Non-Fatal,3
QUEENS,garba,Non-Fatal,3
BRONX,OML,Non-Fatal,3
MANHATTAN,box,Non-Fatal,3
QUEENS,OTHER,Fatal,3
MANHATTAN,Tractor Truck Diesel,Fatal,3
MANHATTAN,Firetruck,Non-Fatal,3
QUEENS,COMMERCIAL,Non-Fatal,3
BRONX,FDNY FIRET,Non-Fatal,3
QUEENS,MOTOR SCOO,Non-Fatal,3
BRONX,E-SCOOTER,Non-Fatal,3
BRONX,School bus,Non-Fatal,3
QUEENS,Unknown,Non-Fatal,3
QUEENS,FLAT,Non-Fatal,3
BRONX,COMME,Non-Fatal,3
QUEENS,Fork,Non-Fatal,3
BROOKLYN,Tract,Non-Fatal,3
QUEENS,Firet,Non-Fatal,3
BROOKLYN,deliv,Non-Fatal,3
MANHATTAN,Flat Bed,Fatal,3
BROOKLYN,SPC,Non-Fatal,3
BRONX,BOX T,Non-Fatal,3
MANHATTAN,HORSE,Non-Fatal,3
MANHATTAN,FREIG,Non-Fatal,3
MANHATTAN,Delivery,Non-Fatal,3
BRONX,Minicycle,Non-Fatal,3
QUEENS,TRACTOR,Non-Fatal,3
BROOKLYN,DELIVERY T,Non-Fatal,3
BROOKLYN,Pick up,Non-Fatal,3
QUEENS,firetruck,Non-Fatal,3
BRONX,E-scooter,Non-Fatal,3
BROOKLYN,TRACTOR TR,Non-Fatal,3
BROOKLYN,E-SCOOTER,Non-Fatal,3
QUEENS,Moped,Fatal,3
MANHATTAN,STREET SWE,Non-Fatal,3
BROOKLYN,Standing S,Fatal,3
STATEN ISLAND,PASS,Non-Fatal,2
BRONX,4 dr sedan,Fatal,2
QUEENS,Flat Bed,Fatal,2
BROOKLYN,delv,Non-Fatal,2
MANHATTAN,GOVER,Non-Fatal,2
QUEENS,BICYCLE,Fatal,2
BRONX,TANK,Non-Fatal,2
BRONX,TOW T,Non-Fatal,2
BRONX,UTIL,Non-Fatal,2
STATEN ISLAND,GARBA,Non-Fatal,2
BROOKLYN,Flat,Non-Fatal,2
MANHATTAN,usps,Non-Fatal,2
BRONX,Mini,Non-Fatal,2
MANHATTAN,BS,Non-Fatal,2
MANHATTAN,Tow t,Non-Fatal,2
BROOKLYN,Concrete Mixer,Fatal,2
MANHATTAN,OML,Non-Fatal,2
BRONX,Scoot,Non-Fatal,2
QUEENS,Tow T,Non-Fatal,2
QUEENS,subn,Non-Fatal,2
BROOKLYN,schoo,Non-Fatal,2
BROOKLYN,EXCAV,Non-Fatal,2
MANHATTAN,Enclosed Body - Removable Enclosure,Non-Fatal,2
STATEN ISLAND,OMR,Non-Fatal,2
BROOKLYN,n/a,Non-Fatal,2
MANHATTAN,LIVERY VEHICLE,Fatal,2
BRONX,work,Non-Fatal,2
QUEENS,Forkl,Non-Fatal,2
BROOKLYN,backh,Non-Fatal,2
QUEENS,Glass Rack,Non-Fatal,2
STATEN ISLAND,4DS,Non-Fatal,2
QUEENS,PEDICAB,Non-Fatal,2
BROOKLYN,TRAC,Non-Fatal,2
MANHATTAN,SEDAN,Non-Fatal,2
BRONX,Comme,Non-Fatal,2
BROOKLYN,RV,Non-Fatal,2
BROOKLYN,FORK LIFT,Non-Fatal,2
QUEENS,ESU T,Non-Fatal,2
STATEN ISLAND,E-Bike,Fatal,2
BROOKLYN,FIRE TRUCK,Fatal,2
BRONX,Dirt Bike,Non-Fatal,2
BROOKLYN,SS,Non-Fatal,2
BRONX,VMS,Non-Fatal,2
BRONX,Tractor Truck Diesel,Fatal,2
BRONX,Motorbike,Fatal,2
MANHATTAN,Pickup tru,Non-Fatal,2
BRONX,PICK-UP TR,Non-Fatal,2
BRONX,ROAD SWEEP,Non-Fatal,2
MANHATTAN,FORD TRANS,Non-Fatal,2
BROOKLYN,Road Sweep,Non-Fatal,2
STATEN ISLAND,garbage tr,Non-Fatal,2
BROOKLYN,Self insur,Non-Fatal,2
BROOKLYN,Ambulette,Non-Fatal,2
BROOKLYN,FIRE APPAR,Non-Fatal,2
QUEENS,Pick up tr,Non-Fatal,2
MANHATTAN,Sanitation,Non-Fatal,2
QUEENS,Fdny ambul,Non-Fatal,2
MANHATTAN,PICKUP,Non-Fatal,2
BRONX,BULLDOZER,Non-Fatal,2
BRONX,EMS,Non-Fatal,2
BRONX,GOLF CART,Non-Fatal,2
BROOKLYN,E SCOOTER,Non-Fatal,2
BROOKLYN,PICKU,Non-Fatal,2
BROOKLYN,G COM,Non-Fatal,2
BRONX,P/SH,Non-Fatal,2
BRONX,E-BIK,Non-Fatal,2
STATEN ISLAND,FRHT,Non-Fatal,2
MANHATTAN,sanit,Non-Fatal,2
MANHATTAN,power,Non-Fatal,2
QUEENS,SANIT,Non-Fatal,2
MANHATTAN,Stree,Non-Fatal,2
BRONX,Vanette,Non-Fatal,2
QUEENS,MAIL,Non-Fatal,2
STATEN ISLAND,SANIT,Non-Fatal,2
MANHATTAN,Deliv,Non-Fatal,2
STATEN ISLAND,SUB,Non-Fatal,2
MANHATTAN,picku,Non-Fatal,2
BROOKLYN,CITY,Non-Fatal,2
QUEENS,SELF,Non-Fatal,2
STATEN ISLAND,RV,Non-Fatal,2
BRONX,EMS A,Non-Fatal,2
BROOKLYN,OMT,Non-Fatal,2
BRONX,LARGE COM VEH(6 OR MORE TIRES),Fatal,2
MANHATTAN,Marke,Non-Fatal,2
STATEN ISLAND,garba,Non-Fatal,2
BROOKLYN,tractor tr,Non-Fatal,2
QUEENS,SEMI,Non-Fatal,2
BROOKLYN,MTA,Non-Fatal,2
QUEENS,US POSTAL,Non-Fatal,2
BRONX,GARBAGE TR,Non-Fatal,2
BROOKLYN,UTILITY VA,Non-Fatal,2
QUEENS,Tractor,Non-Fatal,2
BROOKLYN,F550,Non-Fatal,2
BROOKLYN,MARKED VAN,Non-Fatal,2
BRONX,FORKLIFT,Non-Fatal,2
BRONX,Pickup Tru,Non-Fatal,2
MANHATTAN,SUBURBAN,Non-Fatal,2
BRONX,rv,Non-Fatal,2
MANHATTAN,Self,Non-Fatal,2
MANHATTAN,SEMI,Non-Fatal,2
BROOKLYN,NYPD,Non-Fatal,2
BRONX,tank,Non-Fatal,2
BROOKLYN,fork,Non-Fatal,2
MANHATTAN,CRANE,Non-Fatal,2
BROOKLYN,TRC,Non-Fatal,2
BROOKLYN,CONST,Non-Fatal,2
BROOKLYN,US PO,Non-Fatal,2
QUEENS,posta,Non-Fatal,2
BROOKLYN,RMP,Non-Fatal,2
STATEN ISLAND,PC,Non-Fatal,2
MANHATTAN,Hopper,Non-Fatal,2
BROOKLYN,TRLR,Non-Fatal,2
MANHATTAN,wagon,Non-Fatal,2
QUEENS,Posta,Non-Fatal,2
QUEENS,delv,Non-Fatal,2
QUEENS,FLATB,Non-Fatal,2
MANHATTAN,City,Non-Fatal,2
STATEN ISLAND,TRAIL,Non-Fatal,2
QUEENS,FORD,Non-Fatal,2
MANHATTAN,US POSTAL,Non-Fatal,2
QUEENS,POSTA,Non-Fatal,2
STATEN ISLAND,POSTA,Non-Fatal,2
BRONX,FDNY TRUCK,Non-Fatal,2
MANHATTAN,fdny,Non-Fatal,2
QUEENS,SMALL COM VEH(4 TIRES) ,Fatal,2
BRONX,SELF,Non-Fatal,2
MANHATTAN,us postal,Non-Fatal,2
QUEENS,BUCKE,Non-Fatal,2
QUEENS,TRL,Non-Fatal,2
BRONX,MACK,Non-Fatal,2
QUEENS,Convertible,Fatal,2
BRONX,tow t,Non-Fatal,2
MANHATTAN,vAN,Non-Fatal,2
STATEN ISLAND,Delivery t,Non-Fatal,2
QUEENS,FORK LIFT,Non-Fatal,2
BRONX,SANITATION,Non-Fatal,2
QUEENS,fire truck,Non-Fatal,2
BROOKLYN,18 WHEELER,Non-Fatal,2
STATEN ISLAND,FORKLIFT,Non-Fatal,2
MANHATTAN,UTILITY,Non-Fatal,2
MANHATTAN,CITY OF NE,Non-Fatal,2
BRONX,Pick Up,Non-Fatal,2
MANHATTAN,Unk,Non-Fatal,2
MANHATTAN,Fire Engin,Non-Fatal,2
BRONX,Forklift,Non-Fatal,2
BROOKLYN,YELLOW BUS,Non-Fatal,2
MANHATTAN,UPS TRUCK,Non-Fatal,2
BRONX,Mack truck,Non-Fatal,2
QUEENS,PAS,Non-Fatal,2
BROOKLYN,ELECTRIC S,Non-Fatal,2
BROOKLYN,Electric s,Non-Fatal,2
STATEN ISLAND,Minicycle,Non-Fatal,2
MANHATTAN,FDNY EMS,Non-Fatal,2
BROOKLYN,DELIVERY V,Non-Fatal,2
MANHATTAN,4 dr sedan,Fatal,2
BROOKLYN,CO,Non-Fatal,2
MANHATTAN,MOTOR,Non-Fatal,2
STATEN ISLAND,4DR,Non-Fatal,2
BROOKLYN,TRANS,Non-Fatal,2
BRONX,Dump,Fatal,2
BRONX,AMBULANCE,Fatal,2
BRONX,OMNIB,Non-Fatal,2
MANHATTAN,NOT I,Non-Fatal,2
QUEENS,self,Non-Fatal,2
BROOKLYN,tank,Non-Fatal,2
BRONX,TRAC,Non-Fatal,2
BROOKLYN,FORK,Non-Fatal,2
BROOKLYN,motor,Non-Fatal,2
MANHATTAN,SPRIN,Non-Fatal,2
QUEENS,REP,Non-Fatal,2
STATEN ISLAND,PICK-UP TRUCK,Fatal,2
BRONX,US PO,Non-Fatal,2
BRONX,TANKE,Non-Fatal,2
BROOKLYN,sanit,Non-Fatal,2
QUEENS,freig,Non-Fatal,2
QUEENS,Motorbike,Fatal,2
QUEENS,Dump truck,Non-Fatal,2
QUEENS,POSTAL TRU,Non-Fatal,2
MANHATTAN,ACCESS A R,Non-Fatal,2
MANHATTAN,Street swe,Non-Fatal,2
QUEENS,PK,Fatal,2
BRONX,Pick up tr,Non-Fatal,2
QUEENS,forklift,Non-Fatal,2
BRONX,school bus,Non-Fatal,2
BROOKLYN,postal tru,Non-Fatal,2
MANHATTAN,TOWER,Non-Fatal,2
MANHATTAN,Tow T,Non-Fatal,2
MANHATTAN,FORKL,Non-Fatal,2
MANHATTAN,unk,Non-Fatal,2
BRONX,elect,Non-Fatal,2
STATEN ISLAND,AMBUL,Non-Fatal,2
MANHATTAN,POWER,Non-Fatal,2
BRONX,LIVERY VEHICLE,Fatal,2
BRONX,Tract,Non-Fatal,2
BROOKLYN,Stree,Non-Fatal,2
BRONX,UHAUL,Non-Fatal,2
MANHATTAN,utili,Non-Fatal,2
STATEN ISLAND,4D,Non-Fatal,2
BROOKLYN,COMM,Non-Fatal,2
MANHATTAN,COMM,Non-Fatal,2
BROOKLYN,tow,Non-Fatal,2
MANHATTAN,Forkl,Non-Fatal,2
BRONX,ford,Non-Fatal,2
BRONX,Ford,Non-Fatal,2
QUEENS,TOWTR,Non-Fatal,2
QUEENS,trailer,Non-Fatal,2
BROOKLYN,Deliv,Non-Fatal,2
BRONX,scooter,Non-Fatal,2
QUEENS,dump truck,Non-Fatal,2
QUEENS,AMBULENCE,Non-Fatal,2
BRONX,SELF INSUR,Non-Fatal,2
BROOKLYN,Enclosed Body - Removable Enclosure,Non-Fatal,2
BROOKLYN,E scooter,Non-Fatal,2
QUEENS,Com,Non-Fatal,2
BRONX,UTILITY VE,Non-Fatal,2
MANHATTAN,Motorized,Non-Fatal,2
BROOKLYN,Motorscooter,Fatal,2
MANHATTAN,unknown,Non-Fatal,2
BROOKLYN,EMT Ambula,Non-Fatal,2
BROOKLYN,Flatbed,Non-Fatal,2
MANHATTAN,School bus,Non-Fatal,2
QUEENS,PICK UP,Non-Fatal,2
BROOKLYN,CARGO VAN,Non-Fatal,2
BRONX,SPRINTER V,Non-Fatal,2
STATEN ISLAND,Trail,Non-Fatal,2
BROOKLYN,Sanit,Non-Fatal,2
MANHATTAN,Moped,Fatal,2
MANHATTAN,Vanette,Non-Fatal,2
QUEENS,utili,Non-Fatal,2
QUEENS,Enclosed Body - Removable Enclosure,Non-Fatal,2
MANHATTAN,GRAY,Non-Fatal,2
MANHATTAN,fork,Non-Fatal,2
BROOKLYN,posta,Non-Fatal,2
BROOKLYN,Pick,Non-Fatal,2
BROOKLYN,BOBCA,Non-Fatal,2
MANHATTAN,Sanit,Non-Fatal,2
STATEN ISLAND,WAGON,Non-Fatal,2
BRONX,E BIK,Non-Fatal,2
MANHATTAN,jeep,Non-Fatal,2
QUEENS,STREE,Non-Fatal,2
QUEENS,pick,Non-Fatal,2
BRONX,Van Camper,Non-Fatal,2
BROOKLYN,BULLD,Non-Fatal,2
BROOKLYN,POWER,Non-Fatal,2
QUEENS,Tow t,Non-Fatal,2
BROOKLYN,picku,Non-Fatal,2
MANHATTAN,box truck,Non-Fatal,2
BRONX,FDNY LADDE,Non-Fatal,2
BROOKLYN,LADDER TRU,Non-Fatal,2
BRONX,E-BIKE,Non-Fatal,2
QUEENS,garbage tr,Non-Fatal,2
BRONX,TL,Non-Fatal,2
BRONX,PASSENGER,Non-Fatal,2
BRONX,FDNY Ambul,Non-Fatal,2
MANHATTAN,BOOM LIFT,Non-Fatal,2
QUEENS,Sprinter v,Non-Fatal,2
QUEENS,FDNY EMS,Non-Fatal,2
BROOKLYN,Street Swe,Non-Fatal,2
MANHATTAN,FDNY ENGIN,Non-Fatal,2
BROOKLYN,FDNY Truck,Non-Fatal,2
BROOKLYN,Fire Engin,Non-Fatal,2
MANHATTAN,TRANSPORT,Non-Fatal,2
QUEENS,LIGHT TRAI,Non-Fatal,2
BRONX,CONST,Non-Fatal,2
QUEENS,E-BIK,Non-Fatal,2
QUEENS,FREIG,Non-Fatal,2
BRONX,firet,Non-Fatal,2
BROOKLYN,MOBIL,Non-Fatal,2
MANHATTAN,CARGO,Non-Fatal,2
MANHATTAN,TRL,Non-Fatal,2
BRONX,POWER,Non-Fatal,2
BROOKLYN,Motor,Non-Fatal,2
MANHATTAN,rv,Non-Fatal,2
BRONX,PICK-UP TRUCK,Fatal,2
MANHATTAN,UNKNOWN,Fatal,2
MANHATTAN,U HAU,Non-Fatal,2
BRONX,Subn,Non-Fatal,2
BROOKLYN,PICK-UP TRUCK,Fatal,2
BRONX,Box truck,Non-Fatal,2
BROOKLYN,tr,Non-Fatal,2
BRONX,TRACTOR,Non-Fatal,2
BROOKLYN,Tractor,Non-Fatal,2
