contributing_factor,time_of_day,crash_count,factor_rank_within_time_of_day
Tire Failure/Inadequate,Evening,8,37
Drugs (illegal),Morning,8,36
Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Morning,7,37
Pavement Defective,Afternoon,6,39
Other Electronic Device,Evening,6,38
Drugs (Illegal),Morning,6,38
Illness,Morning,6,39
Reaction to Other Uninvolved Vehicle,Night,6,39
Lane Marking Improper/Inadequate,Night,6,40
Illness,Afternoon,5,40
Cell Phone (hand-Held),Evening,5,39
Illness,Evening,5,40
Lane Marking Improper/Inadequate,Evening,5,41
Other Electronic Device,Morning,5,40
Driverless/Runaway Vehicle,Night,5,41
Pavement Defective,Morning,4,41
Pavement Defective,Night,4,42
Headlights Defective,Night,4,43
Tinted Windows,Night,4,44
Cell Phone (hand-Held),Afternoon,3,41
Drugs (Illegal),Afternoon,3,42
Animals Action,Afternoon,3,43
Animals Action,Evening,3,42
Pavement Defective,Evening,3,43
Reaction to Other Uninvolved Vehicle,Morning,3,42
Cell Phone (hands-free),Morning,3,43
Other Lighting Defects,Night,3,45
Illness,Night,3,46
Reaction to Other Uninvolved Vehicle,Afternoon,2,44
Driverless/Runaway Vehicle,Afternoon,2,45
Using On Board Navigation Device,Afternoon,2,46
Cell Phone (hands-free),Afternoon,2,47
Lane Marking Improper/Inadequate,Afternoon,2,48
Eating or Drinking,Evening,2,44
Drugs (Illegal),Evening,2,45
Cell Phone (hands-free),Evening,2,46
Reaction to Other Uninvolved Vehicle,Evening,2,47
Vehicle Vandalism,Evening,2,48
Driverless/Runaway Vehicle,Evening,2,49
Other Lighting Defects,Evening,2,50
Using On Board Navigation Device,Evening,2,51
Animals Action,Morning,2,44
Cell Phone (hand-Held),Morning,2,45
Shoulders Defective/Improper,Morning,2,46
Lane Marking Improper/Inadequate,Morning,2,47
Glare,Night,2,47
Drugs (Illegal),Night,2,48
Listening/Using Headphones,Night,2,49
Animals Action,Night,2,50
Shoulders Defective/Improper,Night,2,51
Using On Board Navigation Device,Night,2,52
Windshield Inadequate,Afternoon,1,49
Tinted Windows,Afternoon,1,50
Vehicle Vandalism,Afternoon,1,51
Cell Phone (hand-held),Evening,1,52
Windshield Inadequate,Evening,1,53
Headlights Defective,Evening,1,54
Tinted Windows,Evening,1,55
80,Morning,1,48
Tow Hitch Defective,Morning,1,49
Headlights Defective,Morning,1,50
Listening/Using Headphones,Morning,1,51
Cell Phone (hand-held),Morning,1,52
Windshield Inadequate,Night,1,53
Eating or Drinking,Night,1,54
Vehicle Vandalism,Night,1,55
