hour,day_of_week,contributing_factor,total_pedestrian_injuries
16,3,Passing or Lane Usage Improper,9
11,2,Passenger Distraction,9
16,1,Other Vehicular,9
4,6,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,9
0,5,Unsafe Speed,9
20,3,Other Vehicular,9
10,4,Turning Improperly,9
10,7,Unsafe Speed,9
17,3,Glare,9
12,4,Glare,9
4,7,Aggressive Driving/Road Rage,9
14,3,Passing Too Closely,9
8,4,Reaction to Uninvolved Vehicle,9
23,2,Backing Unsafely,9
14,3,Turning Improperly,9
8,6,Driver Inexperience,9
17,3,Turning Improperly,9
18,5,Passing or Lane Usage Improper,9
10,5,Driver Inexperience,9
8,6,Pavement Slippery,9
19,5,Pavement Slippery,9
10,4,Aggressive Driving/Road Rage,9
22,3,View Obstructed/Limited,9
12,5,Passenger Distraction,9
2,2,Failure to Yield Right-of-Way,9
2,4,Aggressive Driving/Road Rage,9
10,1,Glare,9
0,4,Traffic Control Disregarded,9
22,3,Backing Unsafely,9
8,2,Passing Too Closely,9
17,5,Turning Improperly,9
18,6,Passing or Lane Usage Improper,9
23,1,Backing Unsafely,9
10,3,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,9
22,6,Pavement Slippery,9
19,2,Aggressive Driving/Road Rage,9
20,7,Aggressive Driving/Road Rage,9
18,4,Passing or Lane Usage Improper,9
20,1,Alcohol Involvement,9
7,5,Driver Inexperience,9
0,1,Other Vehicular,9
0,3,Turning Improperly,9
16,2,Aggressive Driving/Road Rage,9
8,6,Unsafe Speed,9
7,6,Unsafe Speed,9
21,6,Pavement Slippery,9
7,5,Passenger Distraction,9
14,7,Alcohol Involvement,9
4,1,Passenger Distraction,9
18,2,Physical Disability,9
15,1,Glare,9
6,7,View Obstructed/Limited,9
19,5,Prescription Medication,9
11,5,Turning Improperly,9
13,3,Driver Inexperience,9
13,1,Unsafe Speed,9
10,2,View Obstructed/Limited,9
18,6,Passing Too Closely,9
0,2,Unsafe Speed,9
15,3,Passenger Distraction,9
20,1,Traffic Control Disregarded,9
9,4,Passenger Distraction,9
10,5,Passing Too Closely,9
21,2,Other Vehicular,9
12,6,Traffic Control Disregarded,9
15,5,Pavement Slippery,9
13,5,Passing or Lane Usage Improper,9
16,4,Turning Improperly,9
13,2,Glare,9
12,3,Unsafe Speed,9
9,4,Passing or Lane Usage Improper,9
7,2,Unsafe Speed,9
0,6,View Obstructed/Limited,9
19,4,Driver Inexperience,9
9,5,Passenger Distraction,9
3,7,Backing Unsafely,9
21,1,Turning Improperly,9
17,4,Passing or Lane Usage Improper,9
21,4,Passenger Distraction,9
20,4,Other Vehicular,9
6,5,Backing Unsafely,9
13,1,View Obstructed/Limited,9
21,3,Driver Inexperience,9
9,4,Passing Too Closely,9
12,5,Unsafe Speed,9
11,1,Other Vehicular,9
7,7,Backing Unsafely,9
15,4,Aggressive Driving/Road Rage,9
11,5,Glare,9
12,6,Glare,9
7,2,Passenger Distraction,9
8,3,Passing or Lane Usage Improper,8
14,3,Passing or Lane Usage Improper,8
1,7,Unsafe Speed,8
15,4,Turning Improperly,8
10,6,Passenger Distraction,8
17,4,Other Vehicular,8
4,7,Unsafe Speed,8
11,4,Driver Inexperience,8
15,7,Glare,8
20,1,Passing Too Closely,8
23,7,Driver Inexperience,8
0,4,Alcohol Involvement,8
11,3,Unsafe Speed,8
17,6,Pavement Slippery,8
20,3,Prescription Medication,8
13,3,Unsafe Speed,8
1,2,Aggressive Driving/Road Rage,8
17,2,Aggressive Driving/Road Rage,8
6,6,Traffic Control Disregarded,8
18,5,Pavement Slippery,8
14,4,Aggressive Driving/Road Rage,8
21,7,Passenger Distraction,8
1,7,Passenger Distraction,8
6,3,Passenger Distraction,8
20,2,Aggressive Driving/Road Rage,8
10,6,Glare,8
15,2,Passing Too Closely,8
19,7,Driver Inexperience,8
10,5,Other Vehicular,8
14,5,Passing Too Closely,8
0,4,View Obstructed/Limited,8
0,2,Driver Inexperience,8
3,4,Driver Inattention/Distraction,8
9,5,Turning Improperly,8
20,6,Other Vehicular,8
21,2,Driver Inexperience,8
11,5,Other Vehicular,8
14,1,View Obstructed/Limited,8
14,4,Pavement Slippery,8
4,6,Backing Unsafely,8
17,6,Lost Consciousness,8
9,3,Passenger Distraction,8
6,2,Glare,8
0,7,Aggressive Driving/Road Rage,8
8,5,Turning Improperly,8
21,1,Other Vehicular,8
20,3,Alcohol Involvement,8
11,6,Unsafe Speed,8
11,7,Passing Too Closely,8
16,3,Prescription Medication,8
19,1,Traffic Control Disregarded,8
7,3,Other Vehicular,8
7,5,Turning Improperly,8
13,1,Passenger Distraction,8
2,7,Passenger Distraction,8
15,4,Alcohol Involvement,8
9,6,View Obstructed/Limited,8
12,5,Glare,8
0,6,Aggressive Driving/Road Rage,8
22,4,View Obstructed/Limited,8
9,2,Passing Too Closely,8
20,7,Other Vehicular,8
15,1,Passing Too Closely,8
21,7,Driver Inexperience,8
0,7,Pavement Slippery,8
14,4,Passenger Distraction,8
21,5,Aggressive Driving/Road Rage,8
4,2,Unsafe Speed,8
8,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,8
18,4,Reaction to Uninvolved Vehicle,8
21,5,Unsafe Speed,8
11,1,Traffic Control Disregarded,8
7,2,Pavement Slippery,8
0,7,Passenger Distraction,8
23,5,Aggressive Driving/Road Rage,8
8,5,Unsafe Speed,8
18,7,Passenger Distraction,8
11,5,Unsafe Speed,8
10,3,Passenger Distraction,8
7,6,Passenger Distraction,8
6,4,Traffic Control Disregarded,8
13,5,Passing Too Closely,8
10,3,Other Vehicular,8
16,7,Brakes Defective,8
9,2,Driver Inexperience,8
9,5,Other Vehicular,8
7,3,Traffic Control Disregarded,8
6,7,Aggressive Driving/Road Rage,8
23,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,8
20,1,Pavement Slippery,8
11,4,Unsafe Speed,8
11,7,Aggressive Driving/Road Rage,8
16,4,Pavement Slippery,8
3,3,Failure to Yield Right-of-Way,8
20,6,Pavement Slippery,8
9,7,Other Vehicular,8
17,2,Passing Too Closely,8
19,4,Passing or Lane Usage Improper,8
9,3,Turning Improperly,8
19,3,Turning Improperly,8
4,2,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,8
18,4,Turning Improperly,8
16,6,Alcohol Involvement,8
13,2,Traffic Control Disregarded,8
8,7,Unsafe Speed,8
5,5,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,8
0,3,Aggressive Driving/Road Rage,8
12,2,Other Vehicular,8
16,6,Passing or Lane Usage Improper,8
15,6,Turning Improperly,8
17,7,Passing or Lane Usage Improper,8
13,2,Passing or Lane Usage Improper,8
22,7,Turning Improperly,8
11,7,Driver Inexperience,8
23,5,Backing Unsafely,8
23,7,Passenger Distraction,8
13,2,Passing Too Closely,8
18,3,Passing Too Closely,8
12,7,Other Vehicular,8
9,6,Passenger Distraction,8
18,4,Passing Too Closely,8
17,1,Alcohol Involvement,8
8,5,Other Vehicular,8
19,1,View Obstructed/Limited,8
3,7,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,8
15,2,Steering Failure,8
7,6,Aggressive Driving/Road Rage,8
17,3,Drugs (illegal),8
5,4,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,8
1,5,Backing Unsafely,8
14,5,Passing or Lane Usage Improper,8
17,3,Other Vehicular,8
10,6,Other Vehicular,8
15,1,Other Vehicular,8
1,7,Alcohol Involvement,8
23,4,Traffic Control Disregarded,8
23,6,View Obstructed/Limited,8
16,7,Alcohol Involvement,8
22,1,Passenger Distraction,8
7,7,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,8
22,2,Passenger Distraction,7
6,2,Passenger Distraction,7
17,6,Passing or Lane Usage Improper,7
9,6,Passing Too Closely,7
16,2,Passing Too Closely,7
13,7,Turning Improperly,7
15,5,Passing Too Closely,7
8,7,View Obstructed/Limited,7
15,3,Pavement Slippery,7
10,2,Traffic Control Disregarded,7
18,7,Passing Too Closely,7
7,5,Aggressive Driving/Road Rage,7
17,5,Lost Consciousness,7
16,4,Glare,7
16,4,Alcohol Involvement,7
14,7,Glare,7
6,2,Backing Unsafely,7
15,1,Unsafe Speed,7
23,3,Other Vehicular,7
12,5,Prescription Medication,7
10,5,Glare,7
5,4,Backing Unsafely,7
18,5,Alcohol Involvement,7
4,4,Aggressive Driving/Road Rage,7
11,4,Glare,7
12,3,Other Vehicular,7
16,5,Following Too Closely,7
17,4,Passing Too Closely,7
19,6,Passing Too Closely,7
17,3,Passing or Lane Usage Improper,7
13,7,Unsafe Speed,7
19,3,Pavement Slippery,7
15,6,Alcohol Involvement,7
14,7,View Obstructed/Limited,7
21,3,Other Vehicular,7
12,2,Unsafe Speed,7
12,6,Driver Inexperience,7
21,6,Other Vehicular,7
6,1,Alcohol Involvement,7
20,1,Other Vehicular,7
15,7,Passenger Distraction,7
18,4,Pavement Slippery,7
9,5,Prescription Medication,7
9,3,Passing Too Closely,7
20,3,Turning Improperly,7
2,6,Alcohol Involvement,7
18,1,Turning Improperly,7
15,4,Reaction to Uninvolved Vehicle,7
8,6,Passing or Lane Usage Improper,7
23,2,Alcohol Involvement,7
5,2,Traffic Control Disregarded,7
12,4,Passing Too Closely,7
22,4,Pavement Slippery,7
21,5,Alcohol Involvement,7
19,1,Turning Improperly,7
13,4,Glare,7
9,7,Unsafe Speed,7
6,5,View Obstructed/Limited,7
16,2,Outside Car Distraction,7
9,1,Alcohol Involvement,7
11,2,Passing Too Closely,7
12,2,Oversized Vehicle,7
10,4,Driver Inexperience,7
14,3,Following Too Closely,7
16,7,Passing or Lane Usage Improper,7
0,7,Traffic Control Disregarded,7
20,6,Unsafe Speed,7
14,2,Passing Too Closely,7
16,5,Reaction to Uninvolved Vehicle,7
5,6,View Obstructed/Limited,7
6,5,Unsafe Speed,7
22,5,Traffic Control Disregarded,7
2,1,Backing Unsafely,7
20,2,Passenger Distraction,7
3,5,Backing Unsafely,7
19,4,Pavement Slippery,7
19,4,Alcohol Involvement,7
3,7,Traffic Control Disregarded,7
10,3,Turning Improperly,7
16,2,Passing or Lane Usage Improper,7
14,1,Turning Improperly,7
10,2,Driver Inexperience,7
19,7,Alcohol Involvement,7
9,2,Passenger Distraction,7
21,5,Other Vehicular,7
9,5,Passing or Lane Usage Improper,7
19,4,Turning Improperly,7
18,7,Passing or Lane Usage Improper,7
19,5,Other Vehicular,7
20,1,Turning Improperly,7
23,5,Unsafe Speed,7
17,4,Physical Disability,7
20,1,Aggressive Driving/Road Rage,7
19,5,Brakes Defective,7
1,1,Backing Unsafely,7
10,3,Driver Inexperience,7
15,6,Prescription Medication,7
17,3,Physical Disability,7
23,4,View Obstructed/Limited,7
12,7,Glare,7
8,1,Aggressive Driving/Road Rage,7
12,7,Aggressive Driving/Road Rage,7
16,3,Passing Too Closely,7
14,2,Following Too Closely,7
19,5,Passing Too Closely,7
22,4,Passing Too Closely,7
17,2,Following Too Closely,7
11,1,Turning Improperly,7
0,5,View Obstructed/Limited,7
11,5,Driver Inexperience,7
20,7,Turning Improperly,7
1,7,Backing Unsafely,7
14,4,Turning Improperly,7
8,4,Aggressive Driving/Road Rage,7
1,6,Aggressive Driving/Road Rage,7
9,1,Driver Inexperience,7
21,4,Aggressive Driving/Road Rage,7
18,7,Glare,7
9,7,Traffic Control Disregarded,7
15,7,Other Vehicular,7
23,5,Passing or Lane Usage Improper,7
15,6,Following Too Closely,7
8,4,Passing or Lane Usage Improper,7
20,4,Following Too Closely,7
23,3,Unsafe Speed,7
7,2,Turning Improperly,7
22,7,Other Vehicular,7
22,6,Other Vehicular,7
6,4,Driver Inexperience,7
1,2,Unsafe Speed,7
10,7,View Obstructed/Limited,7
18,6,Glare,7
19,1,Alcohol Involvement,7
18,3,Glare,7
22,4,Passenger Distraction,7
13,6,Turning Improperly,7
8,3,Aggressive Driving/Road Rage,7
5,7,Traffic Control Disregarded,7
20,2,Passing or Lane Usage Improper,7
16,6,Turning Improperly,7
19,5,Turning Improperly,7
5,1,Alcohol Involvement,7
19,6,Turning Improperly,7
5,1,Traffic Control Disregarded,7
22,4,Traffic Control Disregarded,7
18,6,Pavement Slippery,7
11,2,Aggressive Driving/Road Rage,7
6,7,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,7
23,1,View Obstructed/Limited,7
7,3,Turning Improperly,7
12,3,Passing or Lane Usage Improper,7
20,7,Driver Inexperience,7
9,1,Glare,7
11,1,Driver Inexperience,6
12,2,Driver Inexperience,6
16,6,Other Vehicular,6
23,4,Unsafe Speed,6
0,3,Unsafe Speed,6
2,7,Unsafe Speed,6
9,7,Turning Improperly,6
21,5,Driver Inexperience,6
17,6,Alcohol Involvement,6
14,7,Passing or Lane Usage Improper,6
3,1,Traffic Control Disregarded,6
6,2,Unsafe Speed,6
0,7,View Obstructed/Limited,6
15,7,Passing Too Closely,6
5,6,Backing Unsafely,6
11,7,Unsafe Speed,6
11,7,Passenger Distraction,6
17,5,Physical Disability,6
9,6,Aggressive Driving/Road Rage,6
17,1,Aggressive Driving/Road Rage,6
6,1,Unsafe Speed,6
9,6,Passing or Lane Usage Improper,6
14,6,Passing or Lane Usage Improper,6
15,3,Reaction to Uninvolved Vehicle,6
8,6,Outside Car Distraction,6
1,1,Other Vehicular,6
10,5,Traffic Control Disregarded,6
23,5,Driver Inexperience,6
15,5,Turning Improperly,6
21,3,Pavement Slippery,6
17,5,Pavement Slippery,6
18,1,Alcohol Involvement,6
0,2,Passenger Distraction,6
14,5,Pavement Slippery,6
19,6,Passing or Lane Usage Improper,6
5,6,Traffic Control Disregarded,6
10,3,Unsafe Speed,6
9,5,Aggressive Driving/Road Rage,6
2,2,Alcohol Involvement,6
9,7,View Obstructed/Limited,6
14,2,Aggressive Driving/Road Rage,6
17,3,Prescription Medication,6
11,7,Prescription Medication,6
15,1,Turning Improperly,6
12,5,Turning Improperly,6
9,5,Following Too Closely,6
5,7,Aggressive Driving/Road Rage,6
20,6,Passing Too Closely,6
10,5,Turning Improperly,6
0,5,Aggressive Driving/Road Rage,6
14,6,Lost Consciousness,6
9,6,Pavement Slippery,6
11,5,Passenger Distraction,6
6,7,Backing Unsafely,6
23,1,Aggressive Driving/Road Rage,6
11,6,Following Too Closely,6
10,4,Traffic Control Disregarded,6
0,3,Traffic Control Disregarded,6
13,1,Traffic Control Disregarded,6
18,1,Passing Too Closely,6
18,1,Glare,6
12,4,Passenger Distraction,6
12,1,Aggressive Driving/Road Rage,6
15,2,Outside Car Distraction,6
5,4,Aggressive Driving/Road Rage,6
9,6,Unsafe Speed,6
20,7,Pavement Slippery,6
6,7,Traffic Control Disregarded,6
8,6,Alcohol Involvement,6
9,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,6
7,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,6
6,3,Other Vehicular,6
13,6,Other Vehicular,6
10,3,Passing or Lane Usage Improper,6
12,5,Passing or Lane Usage Improper,6
2,7,Aggressive Driving/Road Rage,6
2,7,Traffic Control Disregarded,6
11,6,Aggressive Driving/Road Rage,6
15,1,Passenger Distraction,6
21,4,Driver Inexperience,6
17,5,Outside Car Distraction,6
13,2,Lost Consciousness,6
22,5,Alcohol Involvement,6
16,3,Alcohol Involvement,6
10,5,Passing or Lane Usage Improper,6
22,7,Driver Inexperience,6
20,4,Driver Inexperience,6
13,7,Passing or Lane Usage Improper,6
20,2,Driver Inexperience,6
11,4,Other Vehicular,6
7,3,Passing Too Closely,6
14,2,Driver Inexperience,6
23,6,Driver Inexperience,6
16,4,Passing Too Closely,6
10,4,Passing Too Closely,6
20,4,Passing Too Closely,6
4,1,Backing Unsafely,6
11,1,View Obstructed/Limited,6
22,2,Other Vehicular,6
8,3,Pavement Slippery,6
23,2,Traffic Control Disregarded,6
18,2,Glare,6
23,6,Backing Unsafely,6
10,5,Passenger Distraction,6
23,6,Passenger Distraction,6
10,5,Aggressive Driving/Road Rage,6
13,7,Other Vehicular,6
6,6,Pavement Slippery,6
11,3,Glare,6
0,5,Passenger Distraction,6
15,6,Passing Too Closely,6
10,6,Traffic Control Disregarded,6
17,3,Reaction to Uninvolved Vehicle,6
6,7,Unsafe Speed,6
14,1,Passing or Lane Usage Improper,6
12,5,Following Too Closely,6
23,4,Alcohol Involvement,6
12,3,Turning Improperly,6
11,3,Driver Inexperience,6
21,4,Passing Too Closely,6
14,7,Aggressive Driving/Road Rage,6
21,5,Passing Too Closely,6
2,6,Backing Unsafely,6
0,3,Other Vehicular,6
8,4,Outside Car Distraction,6
22,5,Passenger Distraction,6
0,2,View Obstructed/Limited,6
6,6,Unsafe Speed,6
6,5,Traffic Control Disregarded,6
19,2,Passenger Distraction,6
22,1,Driver Inexperience,6
18,2,Outside Car Distraction,6
16,2,Prescription Medication,6
13,5,Prescription Medication,6
19,1,Glare,6
3,6,Aggressive Driving/Road Rage,6
16,6,Other Electronic Device,6
13,6,Following Too Closely,6
1,3,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,6
23,2,View Obstructed/Limited,6
12,6,Following Too Closely,6
20,7,Passing or Lane Usage Improper,6
1,2,Backing Unsafely,6
6,6,Turning Improperly,6
19,3,Alcohol Involvement,6
20,5,Alcohol Involvement,6
16,4,Aggressive Driving/Road Rage,6
13,4,Physical Disability,6
17,5,Alcohol Involvement,6
15,2,Physical Disability,6
15,3,Glare,6
9,5,Passing Too Closely,6
10,2,Passenger Distraction,6
8,3,Physical Disability,6
3,1,Backing Unsafely,5
1,6,Unsafe Speed,5
7,5,Passing Too Closely,5
16,4,Following Too Closely,5
13,4,Following Too Closely,5
7,2,Passing or Lane Usage Improper,5
19,1,Passing Too Closely,5
18,5,Turning Improperly,5
22,4,Turning Improperly,5
10,1,Other Vehicular,5
23,7,Pavement Slippery,5
22,5,Aggressive Driving/Road Rage,5
0,1,Driver Inexperience,5
18,7,Alcohol Involvement,5
9,6,Driver Inexperience,5
1,6,Backing Unsafely,5
10,7,Other Vehicular,5
11,2,Unsafe Speed,5
2,1,Driver Inexperience,5
17,2,Prescription Medication,5
17,7,Prescription Medication,5
17,7,Alcohol Involvement,5
13,7,Glare,5
4,5,Traffic Control Disregarded,5
6,5,Passenger Distraction,5
12,3,Following Too Closely,5
18,7,Other Vehicular,5
22,2,Traffic Control Disregarded,5
13,6,Passing or Lane Usage Improper,5
11,6,Passing Too Closely,5
15,2,Following Too Closely,5
11,7,Turning Improperly,5
17,1,Passing or Lane Usage Improper,5
11,5,Passing Too Closely,5
10,7,Turning Improperly,5
1,4,Unsafe Speed,5
22,6,Alcohol Involvement,5
21,1,Driver Inexperience,5
12,1,View Obstructed/Limited,5
10,1,Traffic Control Disregarded,5
19,3,Prescription Medication,5
10,4,Unsafe Speed,5
15,6,Lost Consciousness,5
2,2,Aggressive Driving/Road Rage,5
23,7,View Obstructed/Limited,5
8,4,Alcohol Involvement,5
13,6,Prescription Medication,5
18,6,Prescription Medication,5
22,2,View Obstructed/Limited,5
11,6,Pavement Slippery,5
21,1,Pavement Slippery,5
23,4,Aggressive Driving/Road Rage,5
4,4,Passenger Distraction,5
12,6,Passing Too Closely,5
16,5,Alcohol Involvement,5
15,2,Oversized Vehicle,5
13,7,Driver Inexperience,5
16,7,Passing Too Closely,5
12,1,Passing or Lane Usage Improper,5
21,5,Passing or Lane Usage Improper,5
10,2,Turning Improperly,5
12,2,Following Too Closely,5
5,7,Alcohol Involvement,5
9,4,Driver Inexperience,5
21,3,Turning Improperly,5
19,3,Reaction to Uninvolved Vehicle,5
14,7,Pavement Slippery,5
13,6,Outside Car Distraction,5
14,1,Passing Too Closely,5
7,5,Passing or Lane Usage Improper,5
9,6,Reaction to Uninvolved Vehicle,5
5,4,Turning Improperly,5
22,3,Driver Inexperience,5
10,7,Passenger Distraction,5
9,4,Aggressive Driving/Road Rage,5
7,3,Pavement Slippery,5
0,4,Passenger Distraction,5
18,5,Prescription Medication,5
13,1,Physical Disability,5
1,6,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,5
9,5,Driver Inexperience,5
13,2,Turning Improperly,5
20,2,Turning Improperly,5
19,3,Passing Too Closely,5
22,4,Driver Inexperience,5
10,6,Passing Too Closely,5
19,5,Alcohol Involvement,5
2,7,Passing Too Closely,5
11,4,Turning Improperly,5
15,7,Turning Improperly,5
22,5,Turning Improperly,5
10,2,Unsafe Speed,5
13,7,Alcohol Involvement,5
8,5,Outside Car Distraction,5
17,2,Outside Car Distraction,5
20,7,Illnes,5
14,7,Passing Too Closely,5
11,5,Following Too Closely,5
6,4,Turning Improperly,5
21,7,Pavement Slippery,5
17,7,Passing Too Closely,5
14,4,Oversized Vehicle,5
13,4,Turning Improperly,5
15,1,Passing or Lane Usage Improper,5
11,7,Traffic Control Disregarded,5
0,4,Driver Inexperience,5
12,6,Pavement Slippery,5
19,5,Reaction to Uninvolved Vehicle,5
22,2,Passing or Lane Usage Improper,5
9,6,Oversized Vehicle,5
8,5,Driver Inexperience,5
16,7,Glare,5
19,7,Glare,5
8,2,Outside Car Distraction,5
23,3,Aggressive Driving/Road Rage,5
8,1,Glare,5
13,3,Brakes Defective,5
21,6,Prescription Medication,5
15,3,Passing Too Closely,5
8,5,Passing or Lane Usage Improper,5
18,2,Passing or Lane Usage Improper,5
11,2,Driver Inexperience,5
8,7,Alcohol Involvement,5
14,4,Passing or Lane Usage Improper,5
19,5,Passing or Lane Usage Improper,5
20,1,Driver Inexperience,5
11,2,Oversized Vehicle,5
0,1,Passing Too Closely,5
7,7,Unsafe Speed,5
13,1,Driver Inexperience,5
7,5,Other Vehicular,5
0,1,Pavement Slippery,5
4,7,Passenger Distraction,5
2,1,Traffic Control Disregarded,5
22,1,Aggressive Driving/Road Rage,5
3,6,Backing Unsafely,5
1,4,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,5
22,7,Passing Too Closely,5
0,3,Outside Car Distraction,5
1,4,Backing Unsafely,5
11,4,Passenger Distraction,5
4,6,Aggressive Driving/Road Rage,5
14,3,Prescription Medication,5
5,2,View Obstructed/Limited,5
12,2,Glare,5
14,3,Pavement Slippery,5
22,1,View Obstructed/Limited,5
5,1,Aggressive Driving/Road Rage,5
19,5,Physical Disability,5
17,6,Reaction to Uninvolved Vehicle,5
13,3,Passing or Lane Usage Improper,5
1,1,Turning Improperly,5
16,1,Passing Too Closely,5
8,3,Following Too Closely,5
0,6,Turning Improperly,5
17,3,Following Too Closely,5
8,5,Passing Too Closely,5
18,3,Passing or Lane Usage Improper,5
4,1,Other Vehicular,5
21,2,Aggressive Driving/Road Rage,5
9,5,Unsafe Speed,5
15,3,Brakes Defective,5
11,3,Traffic Control Disregarded,5
2,7,Backing Unsafely,5
7,6,Passing or Lane Usage Improper,5
20,5,Pavement Slippery,5
6,1,Aggressive Driving/Road Rage,5
18,3,Alcohol Involvement,5
11,7,Glare,5
21,3,Physical Disability,5
21,7,Turning Improperly,5
19,4,Passing Too Closely,5
13,2,Unsafe Lane Changing,5
22,3,Turning Improperly,5
21,7,Passing Too Closely,5
11,6,Passing or Lane Usage Improper,5
23,6,Aggressive Driving/Road Rage,5
0,4,Other Vehicular,5
5,5,Backing Unsafely,5
13,5,Glare,5
12,4,Oversized Vehicle,5
10,7,Obstruction/Debris,5
16,7,Turning Improperly,5
13,3,Aggressive Driving/Road Rage,5
5,2,Unsafe Speed,5
6,3,Glare,5
15,3,Illnes,5
14,1,Glare,5
10,4,Brakes Defective,5
9,3,Pavement Slippery,5
19,2,Passing or Lane Usage Improper,5
18,1,Outside Car Distraction,5
8,2,Physical Disability,5
10,4,Passing or Lane Usage Improper,4
10,1,Passing Too Closely,4
6,6,Other Vehicular,4
14,7,Unsafe Lane Changing,4
20,7,Passing Too Closely,4
11,5,Aggressive Driving/Road Rage,4
13,1,Other Vehicular,4
17,6,Brakes Defective,4
17,1,Passing Too Closely,4
3,3,Alcohol Involvement,4
3,5,Other Vehicular,4
23,5,Alcohol Involvement,4
21,4,Pavement Slippery,4
19,2,Pavement Slippery,4
9,1,Unsafe Speed,4
18,6,Aggressive Driving/Road Rage,4
14,7,Physical Disability,4
11,6,Physical Disability,4
18,6,Brakes Defective,4
17,7,Physical Disability,4
7,5,Unsafe Speed,4
23,2,Passenger Distraction,4
4,2,Traffic Control Disregarded,4
19,2,Physical Disability,4
19,5,Lost Consciousness,4
22,7,Outside Car Distraction,4
21,6,Physical Disability,4
22,5,Prescription Medication,4
23,2,Lost Consciousness,4
20,3,Glare,4
8,4,Following Too Closely,4
10,5,Following Too Closely,4
13,7,Passing Too Closely,4
18,7,Following Too Closely,4
10,1,Turning Improperly,4
18,7,Reaction to Uninvolved Vehicle,4
15,1,Following Too Closely,4
10,7,Traffic Control Disregarded,4
5,1,Unsafe Speed,4
10,1,Driver Inexperience,4
14,1,Other Vehicular,4
19,7,Passing Too Closely,4
0,7,Passing or Lane Usage Improper,4
14,5,Brakes Defective,4
23,2,Pavement Slippery,4
2,3,Backing Unsafely,4
6,2,Turning Improperly,4
6,4,Pavement Slippery,4
14,2,Prescription Medication,4
23,4,Passenger Distraction,4
9,5,Oversized Vehicle,4
12,4,Alcohol Involvement,4
22,7,View Obstructed/Limited,4
20,2,Physical Disability,4
8,6,Brakes Defective,4
7,5,Prescription Medication,4
10,2,Aggressive Driving/Road Rage,4
7,7,Aggressive Driving/Road Rage,4
5,3,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,4
7,1,Glare,4
17,4,Fatigued/Drowsy,4
23,6,Pavement Slippery,4
16,6,Passing Too Closely,4
15,6,Brakes Defective,4
6,2,Traffic Control Disregarded,4
21,4,Alcohol Involvement,4
3,7,Other Vehicular,4
6,4,Following Too Closely,4
5,5,Pavement Slippery,4
7,5,Unsafe Lane Changing,4
13,3,Oversized Vehicle,4
16,3,Outside Car Distraction,4
15,1,Driver Inexperience,4
4,2,Alcohol Involvement,4
10,2,Passing or Lane Usage Improper,4
17,3,Outside Car Distraction,4
9,6,Turning Improperly,4
8,6,Reaction to Uninvolved Vehicle,4
1,1,View Obstructed/Limited,4
4,6,View Obstructed/Limited,4
16,2,Alcohol Involvement,4
2,3,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,4
8,5,Alcohol Involvement,4
23,7,Outside Car Distraction,4
19,2,Prescription Medication,4
13,7,Prescription Medication,4
1,5,Passenger Distraction,4
9,4,Physical Disability,4
14,4,Unsafe Lane Changing,4
0,6,Other Vehicular,4
11,3,Reaction to Uninvolved Vehicle,4
20,4,Unsafe Speed,4
20,6,Turning Improperly,4
15,7,Passing or Lane Usage Improper,4
20,2,Other Vehicular,4
6,5,Passing Too Closely,4
8,2,Pavement Slippery,4
21,2,Turning Improperly,4
2,7,View Obstructed/Limited,4
18,2,Alcohol Involvement,4
15,5,Prescription Medication,4
8,2,Aggressive Driving/Road Rage,4
23,4,Other Vehicular,4
2,5,Alcohol Involvement,4
3,4,Backing Unsafely,4
9,3,Prescription Medication,4
12,1,Passenger Distraction,4
23,3,Passenger Distraction,4
16,4,Outside Car Distraction,4
8,7,Prescription Medication,4
18,3,Physical Disability,4
5,1,Other Vehicular,4
21,3,Alcohol Involvement,4
6,3,Unsafe Speed,4
16,7,Prescription Medication,4
21,5,Outside Car Distraction,4
15,7,Lost Consciousness,4
10,2,Outside Car Distraction,4
4,5,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,4
22,4,Physical Disability,4
17,3,Driverless/Runaway Vehicle,4
1,5,Driver Inexperience,4
21,7,Physical Disability,4
0,4,Physical Disability,4
4,2,Passenger Distraction,4
17,7,Reaction to Uninvolved Vehicle,4
4,7,Other Vehicular,4
10,3,Passing Too Closely,4
19,1,Prescription Medication,4
19,6,Following Too Closely,4
16,3,Reaction to Uninvolved Vehicle,4
8,6,Following Too Closely,4
