hour,day_of_week,contributing_factor,total_pedestrian_injuries
20,7,Driver Inattention/Distraction,224
7,4,Failure to Yield Right-of-Way,224
18,1,Driver Inattention/Distraction,224
9,5,Driver Inattention/Distraction,224
11,3,Driver Inattention/Distraction,223
21,5,Failure to Yield Right-of-Way,223
9,6,Failure to Yield Right-of-Way,221
17,1,Driver Inattention/Distraction,221
23,7,Unspecified,221
12,4,Failure to Yield Right-of-Way,221
9,2,Failure to Yield Right-of-Way,219
16,7,Driver Inattention/Distraction,219
20,2,Failure to Yield Right-of-Way,217
21,3,Driver Inattention/Distraction,215
9,6,Driver Inattention/Distraction,214
19,1,Driver Inattention/Distraction,214
7,5,Driver Inattention/Distraction,214
9,4,Driver Inattention/Distraction,214
7,2,Failure to Yield Right-of-Way,214
17,1,Failure to Yield Right-of-Way,214
9,4,Failure to Yield Right-of-Way,214
21,3,Failure to Yield Right-of-Way,213
13,3,Driver Inattention/Distraction,212
12,3,Driver Inattention/Distraction,212
21,7,Driver Inattention/Distraction,212
9,5,Failure to Yield Right-of-Way,210
10,6,Driver Inattention/Distraction,208
10,5,Driver Inattention/Distraction,208
11,6,Driver Inattention/Distraction,208
12,2,Driver Inattention/Distraction,207
7,3,Failure to Yield Right-of-Way,206
11,4,Driver Inattention/Distraction,206
21,6,Driver Inattention/Distraction,204
12,1,Unspecified,203
13,5,Driver Inattention/Distraction,203
12,5,Failure to Yield Right-of-Way,202
21,4,Failure to Yield Right-of-Way,202
12,6,Failure to Yield Right-of-Way,202
9,2,Driver Inattention/Distraction,201
13,4,Failure to Yield Right-of-Way,201
20,1,Failure to Yield Right-of-Way,199
22,2,Unspecified,198
13,2,Driver Inattention/Distraction,197
13,5,Failure to Yield Right-of-Way,197
0,6,Unspecified,196
12,2,Failure to Yield Right-of-Way,196
13,2,Failure to Yield Right-of-Way,193
13,6,Failure to Yield Right-of-Way,193
11,3,Failure to Yield Right-of-Way,193
21,5,Driver Inattention/Distraction,192
6,2,Unspecified,192
7,6,Failure to Yield Right-of-Way,191
21,6,Failure to Yield Right-of-Way,190
21,4,Driver Inattention/Distraction,189
11,5,Driver Inattention/Distraction,188
7,5,Failure to Yield Right-of-Way,188
12,3,Failure to Yield Right-of-Way,187
13,3,Failure to Yield Right-of-Way,187
14,7,Driver Inattention/Distraction,187
22,6,Driver Inattention/Distraction,187
7,6,Driver Inattention/Distraction,185
20,1,Driver Inattention/Distraction,185
10,2,Driver Inattention/Distraction,184
10,3,Driver Inattention/Distraction,184
10,2,Failure to Yield Right-of-Way,184
10,4,Driver Inattention/Distraction,181
11,4,Failure to Yield Right-of-Way,181
21,2,Failure to Yield Right-of-Way,180
7,3,Driver Inattention/Distraction,180
11,6,Failure to Yield Right-of-Way,180
10,4,Failure to Yield Right-of-Way,179
13,7,Driver Inattention/Distraction,179
21,7,Failure to Yield Right-of-Way,179
19,1,Failure to Yield Right-of-Way,179
6,5,Unspecified,178
10,6,Failure to Yield Right-of-Way,177
11,2,Driver Inattention/Distraction,176
10,5,Failure to Yield Right-of-Way,175
6,3,Unspecified,175
21,2,Driver Inattention/Distraction,174
9,7,Unspecified,173
12,7,Failure to Yield Right-of-Way,173
16,7,Failure to Yield Right-of-Way,172
12,7,Driver Inattention/Distraction,172
13,7,Failure to Yield Right-of-Way,170
15,1,Driver Inattention/Distraction,170
15,7,Failure to Yield Right-of-Way,170
16,1,Driver Inattention/Distraction,168
11,5,Failure to Yield Right-of-Way,168
7,4,Driver Inattention/Distraction,168
23,3,Unspecified,168
23,5,Unspecified,168
6,4,Unspecified,167
11,7,Driver Inattention/Distraction,166
10,3,Failure to Yield Right-of-Way,166
22,7,Driver Inattention/Distraction,164
21,1,Driver Inattention/Distraction,163
11,2,Failure to Yield Right-of-Way,162
0,5,Unspecified,161
22,7,Failure to Yield Right-of-Way,158
23,4,Unspecified,157
0,4,Unspecified,156
6,2,Driver Inattention/Distraction,155
11,7,Failure to Yield Right-of-Way,154
11,1,Unspecified,154
22,5,Failure to Yield Right-of-Way,152
16,1,Failure to Yield Right-of-Way,152
23,1,Unspecified,152
0,7,Driver Inattention/Distraction,151
6,6,Unspecified,151
6,2,Failure to Yield Right-of-Way,150
4,1,Unspecified,150
7,2,Driver Inattention/Distraction,148
15,1,Failure to Yield Right-of-Way,146
1,7,Unspecified,146
1,1,Unspecified,146
23,2,Unspecified,145
6,3,Failure to Yield Right-of-Way,144
6,5,Failure to Yield Right-of-Way,142
6,6,Failure to Yield Right-of-Way,141
0,2,Unspecified,141
